Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
09/01/2019 01:07:20,31244,11437,31264,11830,35169,13260,331.08589539999997,523.5156155,291.3955848,955.1090732,316.4455752,16,228,115,418,8432,0,51.281591999999996,0,0,0,35805,13024,1092.799405,5375,4218,2473.0806915999997,31245,11436,552.6693689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
09/08/2019 01:07:23,31239,11414,31261,11807,35175,13134,339.94899069999997,520.7320313,290.3547013,951.59357419999992,321.0592075,16,228,115,418,8432,0,52.3672979,0,0,0,35810,13010,1061.4068355,5375,4215,2473.8830728999997,31238,11415,552.0468078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
09/15/2019 01:06:38,31239,11414,31261,11807,35175,13134,327.8719777,514.2546537,287.5938911,935.1243297,316.29440389999996,22,191,110,400,8410,0,43.9857922,0,0,0,35810,13010,1039.2911335,5375,4215,2467.1995149,31238,11415,541.6006619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
09/22/2019 01:07:08,31239,11414,31259,11803,35169,13144,331.8239066,517.6394947,290.3787674,954.51032739999994,314.2802574,22,191,110,400,8410,0,44.093714399999996,0,0,0,35810,13010,1060.0737468,5375,4215,2534.1055154,31238,11415,543.20641619999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
09/29/2019 01:06:39,31239,11414,31261,11807,35175,13134,320.9324554,508.3950056,285.8197449,946.20298429999991,314.3019269,22,191,110,400,8410,0,43.762326699999996,0,0,0,35810,13010,1058.2539873,5375,4215,2521.5061258,31238,11415,546.4098027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
10/06/2019 01:06:24,31239,11414,31261,11807,35175,13134,327.64864539999996,511.9829794,284.1191751,936.83111579999991,312.6473171,22,191,110,400,8410,0,43.6659381,0,0,0,35810,13010,1038.370711,5375,4215,2447.6623832,31238,11415,541.41674619999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
10/13/2019 01:06:57,31239,11414,31257,11802,35170,13132,330.26722989999996,517.1212167,289.6774277,945.5400116,321.3606438,22,191,110,400,8410,0,44.1427926,0,0,0,35810,13010,1054.3369811999999,5375,4215,2527.935011,31238,11415,540.0508098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
10/20/2019 01:06:47,31242,11414,31262,11805,35174,13135,324.4836607,514.6794255,288.651323,939.2573547,319.69731959999996,22,191,110,400,8410,0,44.6766036,0,0,0,35797,13003,1062.8987583,5375,4215,2524.0162588,31239,11414,543.8124149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
10/27/2019 01:07:10,31238,11410,31260,11819,35182,13115,326.84231189999997,522.7276853,288.100808,944.7465004,322.3246522,16,225,114,420,8400,0,43.0292946,0,0,0,35803,12997,1081.6694624,5362,4211,2523.8208689,31237,11409,545.65102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
11/03/2019 01:07:43,31238,11410,31263,11801,35179,13104,328.3714117,521.6613904,292.2894158,967.60698689999992,326.78055939999996,16,225,114,420,8400,0,43.7405398,0,0,0,35803,12997,1084.3019391,5362,4211,2511.9987035999998,31237,11409,547.7364989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
11/10/2019 01:08:13,31238,11410,31262,11815,35185,13112,337.3651531,530.2547005,300.1884773,968.9137238,324.6106775,16,225,114,420,8400,0,43.1187213,0,0,0,35803,12997,1099.8248511,5362,4211,2479.4953713,31237,11409,565.6852078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
11/17/2019 01:06:59,31238,11410,31263,11801,35179,13104,328.0554409,516.476771,293.0734611,944.50691339999992,319.9372752,16,225,114,420,8400,0,42.6951703,0,0,0,35803,12997,1064.8465405,5362,4211,2475.0387141,31237,11409,545.8349078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
11/24/2019 01:07:10,31238,11410,31263,11801,35179,13104,328.29835729999996,519.9569554,290.7064896,948.5764264,325.4143016,16,225,114,420,8400,0,43.1502327,0,0,0,35803,12997,1104.0951341999998,5362,4211,2536.1493708999997,31237,11409,557.67450969999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
12/01/2019 01:07:12,31238,11410,31262,11815,35181,13094,326.9237162,517.8067651,289.420842,949.5692279,322.3996577,16,225,114,420,8400,0,42.473601099999996,0,0,0,35803,12997,1081.8618098,5362,4211,2517.1225311,31237,11409,552.6488959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3635
